time,Master4Paths4.timeDiff_FTA.ScaledTimeDiff:vector
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,4.4297e-08
0.42,2.1833e-08
0.43,-6.2374e-08
0.44,-1.46587e-07
0.45,-2.29889e-07
0.46,-3.12123e-07
0.47,-3.85664e-07
0.48,-4.05513e-07
0.49,-3.18959e-07
0.5,-2.29398e-07
0.51,-1.39825e-07
0.52,-1.35867e-07
0.53,-1.53228e-07
0.54,-1.83653e-07
0.55,-2.18073e-07
0.56,-2.57001e-07
0.57,-2.95937e-07
0.58,-3.24772e-07
0.59,-2.60618e-07
0.6,-1.74887e-07
0.61,-8.9416e-08
0.62,-4.326e-09
0.63,7.4925e-08
0.64,1.49324e-07
0.65,2.14737e-07
0.66,2.8061e-07
0.67,3.45779e-07
0.68,4.00933e-07
0.69,4.51733e-07
0.7,4.92782e-07
0.71,5.25392e-07
0.72,5.55555e-07
0.73,5.85716e-07
0.74,6.08108e-07
0.75,6.27772e-07
0.76,6.44043e-07
0.77,6.56914e-07
0.78,6.5494e-07
0.79,5.91621e-07
0.8,5.05044e-07
0.81,4.08938e-07
0.82,3.90688e-07
0.83,3.7244e-07
0.84,3.54191e-07
0.85,3.45062e-07
0.86,3.45338e-07
0.87,3.68168e-07
0.88,3.93509e-07
0.89,4.1885e-07
0.9,4.4223e-07
0.91,4.54181e-07
0.92,4.65194e-07
0.93,4.75457e-07
0.94,4.82007e-07
0.95,4.35964e-07
0.96,3.28408e-07
0.97,3.23153e-07
0.98,3.31498e-07
0.99,3.50307e-07
1,3.53835e-07
1.01,3.29877e-07
1.02,3.05918e-07
1.03,2.83214e-07
1.04,2.64345e-07
1.05,2.66986e-07
1.06,2.05749e-07
1.07,7.746e-08
1.08,-5.0843e-08
1.09,-1.76386e-07
1.1,-2.97725e-07
1.11,-2.8249e-07
1.12,-2.96713e-07
1.13,-3.0472e-07
1.14,-3.01569e-07
1.15,-2.7261e-07
1.16,-2.44321e-07
1.17,-2.29159e-07
1.18,-1.85546e-07
1.19,-1.33936e-07
1.2,-8.3956e-08
1.21,-3.2276e-08
1.22,-7.809e-09
1.23,-1.0808e-08
1.24,1.0869e-08
1.25,-3.2137e-08
1.26,-9.4649e-08
1.27,-1.57167e-07
1.28,-2.67849e-07
1.29,-3.94423e-07
1.3,-4.11373e-07
1.31,-4.13359e-07
1.32,-4.01718e-07
1.33,-3.82964e-07
1.34,-3.59438e-07
1.35,-3.29087e-07
1.36,-2.57635e-07
1.37,-2.07374e-07
1.38,-1.62592e-07
1.39,-1.08429e-07
1.4,-2.1247e-08
1.41,3.2536e-08
1.42,6.4427e-08
1.43,5.0338e-08
1.44,6.5348e-08
1.45,1.03549e-07
1.46,1.61565e-07
1.47,2.21326e-07
1.48,2.81034e-07
1.49,3.34217e-07
1.5,3.80226e-07
1.51,4.20665e-07
1.52,4.53933e-07
1.53,4.85161e-07
1.54,5.10075e-07
1.55,5.33537e-07
1.56,5.5333e-07
1.57,5.58091e-07
1.58,5.62853e-07
1.59,5.67613e-07
1.6,5.56035e-07
1.61,5.33706e-07
1.62,5.11378e-07
1.63,4.88754e-07
1.64,4.65714e-07
1.65,4.44711e-07
1.66,4.34895e-07
1.67,4.5171e-07
1.68,4.6837e-07
1.69,4.85421e-07
1.7,5.02288e-07
1.71,5.18949e-07
1.72,5.33307e-07
1.73,4.85874e-07
1.74,3.96502e-07
1.75,2.60647e-07
1.76,1.83091e-07
1.77,1.21149e-07
1.78,7.7564e-08
1.79,3.7515e-08
1.8,-5.425e-09
1.81,-6.551e-08
1.82,-1.88126e-07
1.83,-3.01222e-07
1.84,-4.04566e-07
1.85,-5.84547e-07
1.86,-7.20906e-07
1.87,-7.55193e-07
1.88,-7.66226e-07
1.89,-7.66796e-07
1.9,-7.51196e-07
1.91,-6.63557e-07
1.92,-5.47361e-07
1.93,-4.12823e-07
1.94,-3.26261e-07
1.95,-2.76501e-07
1.96,-2.43736e-07
1.97,-2.15222e-07
1.98,-1.17248e-07
1.99,-1.9079e-08
2,7.2391e-08
2.01,1.5815e-07
2.02,2.38539e-07
2.03,3.14412e-07
2.04,3.83316e-07
2.05,4.46483e-07
2.06,5.039e-07
2.07,5.44814e-07
2.08,5.75749e-07
2.09,5.90025e-07
2.1,5.99979e-07
2.11,6.05087e-07
2.12,6.00507e-07
2.13,5.78273e-07
2.14,5.51413e-07
2.15,5.33377e-07
2.16,5.36794e-07
2.17,5.48066e-07
2.18,5.59264e-07
2.19,5.6648e-07
2.2,5.7225e-07
2.21,5.83633e-07
2.22,5.94059e-07
2.23,5.86605e-07
2.24,5.65968e-07
2.25,5.4362e-07
2.26,5.42764e-07
2.27,5.50868e-07
2.28,5.48242e-07
2.29,5.01046e-07
2.3,4.6977e-07
2.31,4.74481e-07
2.32,4.89041e-07
2.33,5.04396e-07
2.34,5.19917e-07
2.35,5.33143e-07
2.36,5.46447e-07
2.37,5.62189e-07
