time,Master4Paths4.timeDiff_AVG.ScaledTimeDiff:vector
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,1.2014e-08
0.43,7.6916e-08
0.44,1.40211e-07
0.45,2.02047e-07
0.46,2.19586e-07
0.47,2.33633e-07
0.48,2.43364e-07
0.49,2.47444e-07
0.5,2.45055e-07
0.51,2.29896e-07
0.52,2.46393e-07
0.53,2.73853e-07
0.54,3.0284e-07
0.55,3.41771e-07
0.56,3.78504e-07
0.57,4.10554e-07
0.58,4.42223e-07
0.59,4.73883e-07
0.6,5.00978e-07
0.61,5.25484e-07
0.62,5.46954e-07
0.63,5.6231e-07
0.64,5.76782e-07
0.65,5.90318e-07
0.66,6.01527e-07
0.67,6.10742e-07
0.68,6.1675e-07
0.69,5.23676e-07
0.7,3.52041e-07
0.71,3.56962e-07
0.72,3.21555e-07
0.73,2.44495e-07
0.74,2.03808e-07
0.75,1.80492e-07
0.76,1.63695e-07
0.77,1.50993e-07
0.78,1.30717e-07
0.79,1.14997e-07
0.8,1.05351e-07
0.81,1.33976e-07
0.82,1.84343e-07
0.83,2.35869e-07
0.84,2.87121e-07
0.85,3.37163e-07
0.86,3.6512e-07
0.87,3.59671e-07
0.88,3.03767e-07
0.89,2.35711e-07
0.9,1.67644e-07
0.91,1.26418e-07
0.92,6.8839e-08
0.93,-4.2583e-08
0.94,-1.64549e-07
0.95,-2.33767e-07
0.96,-2.93353e-07
0.97,-3.44754e-07
0.98,-3.49993e-07
0.99,-3.19022e-07
1,-2.42578e-07
1.01,-1.57405e-07
1.02,-7.1321e-08
1.03,1.3957e-08
1.04,9.4266e-08
1.05,1.65781e-07
1.06,2.31414e-07
1.07,2.88745e-07
1.08,3.31829e-07
1.09,3.6367e-07
1.1,3.93724e-07
1.11,3.79948e-07
1.12,3.09196e-07
1.13,3.10411e-07
1.14,3.21654e-07
1.15,3.32606e-07
1.16,3.43048e-07
1.17,3.60974e-07
1.18,3.8165e-07
1.19,3.97843e-07
1.2,4.11093e-07
1.21,4.22129e-07
1.22,4.32254e-07
1.23,4.57304e-07
1.24,4.82192e-07
1.25,5.06161e-07
1.26,5.28121e-07
1.27,5.47709e-07
1.28,5.66609e-07
1.29,5.8608e-07
1.3,6.02466e-07
1.31,6.17439e-07
1.32,6.30106e-07
1.33,6.21901e-07
1.34,5.98182e-07
1.35,5.59006e-07
1.36,5.36842e-07
1.37,5.36813e-07
1.38,5.36862e-07
1.39,5.24025e-07
1.4,4.82496e-07
1.41,4.7209e-07
1.42,4.64235e-07
1.43,4.21397e-07
1.44,3.79923e-07
1.45,3.39529e-07
1.46,3.03174e-07
1.47,2.90846e-07
1.48,2.63886e-07
1.49,2.40047e-07
1.5,2.19685e-07
1.51,1.99316e-07
1.52,1.90879e-07
1.53,2.07352e-07
1.54,2.48594e-07
1.55,2.91975e-07
1.56,3.36592e-07
1.57,3.80439e-07
1.58,4.21641e-07
1.59,4.60991e-07
1.6,4.96958e-07
1.61,4.8661e-07
1.62,4.03035e-07
1.63,3.05468e-07
1.64,2.04609e-07
1.65,1.03738e-07
1.66,1.5252e-08
1.67,-4.3644e-08
1.68,-8.0743e-08
1.69,-7.7241e-08
1.7,-3.8849e-08
1.71,-6.624e-08
1.72,-1.26073e-07
1.73,-2.28187e-07
1.74,-2.57458e-07
1.75,-2.78791e-07
1.76,-3.0502e-07
1.77,-3.31252e-07
1.78,-3.55259e-07
1.79,-3.72498e-07
1.8,-3.84116e-07
1.81,-3.79986e-07
1.82,-2.81726e-07
1.83,-1.63875e-07
1.84,-3.0863e-08
1.85,1.01748e-07
1.86,2.18838e-07
1.87,3.21608e-07
1.88,3.1801e-07
1.89,2.04658e-07
1.9,6.5407e-08
1.91,-7.8483e-08
1.92,-2.22388e-07
1.93,-2.98386e-07
1.94,-3.30919e-07
1.95,-2.66563e-07
1.96,-1.95886e-07
1.97,-1.28523e-07
1.98,-6.0188e-08
1.99,2.8301e-08
2,1.27528e-07
2.01,2.07009e-07
2.02,2.77408e-07
2.03,3.4156e-07
2.04,3.9801e-07
2.05,4.4755e-07
2.06,4.93436e-07
2.07,5.48007e-07
2.08,6.171e-07
2.09,7.02175e-07
2.1,8.17382e-07
2.11,9.20395e-07
2.12,1.00111e-06
2.13,1.0799e-06
2.14,1.14124e-06
2.15,1.15764e-06
2.16,1.13047e-06
2.17,1.08724e-06
2.18,1.04221e-06
2.19,1.01582e-06
2.2,9.97486e-07
2.21,9.79138e-07
2.22,9.63503e-07
2.23,9.59434e-07
2.24,9.6761e-07
2.25,9.80856e-07
2.26,9.87834e-07
2.27,9.92392e-07
2.28,1.00689e-06
2.29,1.06039e-06
2.3,1.1058e-06
2.31,1.13058e-06
2.32,1.10163e-06
2.33,1.07133e-06
2.34,1.03589e-06
2.35,1.02823e-06
2.36,1.01031e-06
2.37,9.72047e-07
2.38,9.35161e-07
2.39,8.99942e-07
2.4,8.669e-07
