time,Master1Paths4.FTASlave_1.PTP_Stack[2].offsetFromMaster:vector
0,0
0,0
10.086009131,0
10.211022151,0
10.336017212,0
10.461014343,0.0013145
10.586015062,0.00131529
10.711018385,0
10.836024488,0
10.961015577,0
11.086018307,-0.00130461
11.211015148,-0.00101574
11.33601822,-0.000288325
11.461031997,0
11.586021506,0
11.711027209,0
11.836023376,0.00319678
11.961023536,0.00319648
12.086016434,0.00319499
12.211021515,0
12.336023712,0
12.461013832,0
12.58601742,0
12.711023777,0
12.836027422,0
12.961021864,0
13.086010415,0
13.21101606,0
13.336018628,0.00779474
13.461020887,0.00779392
13.586020254,0.00519557
13.711031019,7.02e-07
13.836033039,-0.00519475
13.961018846,-0.00606265
14.086011287,0
14.211017492,0
14.336017864,0
14.461011182,0.0181859
14.586017582,0.0184737
14.711022596,0.0190491
14.83601903,0.0190491
14.961026337,0.0126984
15.086012108,-5.7e-07
15.211023194,-0.0126983
15.336014599,-0.0148149
15.461026649,-0.0148149
15.586020065,0
15.711023013,0
15.836016444,0
15.961019901,0.0465605
16.086013695,0.04656
16.211023605,0.0465608
16.33601789,0
16.461027777,0
16.586012708,0
16.711012111,-0.0465573
16.836014725,-0.0362113
16.961021349,-0.0103463
17.086009388,0
17.211019715,0
17.336020543,0
17.461028796,0.113806
17.586021898,0.113805
17.71102339,0.113803
17.836017256,0
17.961020989,0
18.086013407,0
18.211029249,0
18.33603087,0
18.461017418,0
18.586015481,0
18.711022033,0
18.836018716,0
18.961016981,0.278183
19.086017298,0.278182
19.211016857,0.185454
19.336013029,2.038e-06
19.461030383,-0.185452
19.586016416,-0.216361
19.711028668,0
19.83602128,0
19.961015033,0
20.086021213,0.649077
20.211024479,0.659381
20.336010479,0.679988
20.461026025,0.679988
20.586024969,0.453325
20.711023893,1.882e-06
20.83603256,-0.453324
20.961014138,-0.52888
21.086016924,-0.52888
21.211025102,0
21.336008397,0
21.461024414,0
21.586020735,1.6622
21.711008715,1.6622
21.836018454,1.6622
21.961031058,0
22.086015687,0
22.211020916,0
22.336019269,-1.66219
22.461019056,-1.29282
22.586026154,-0.369376
22.711018346,0.985004
22.836016626,2.09313
22.961010739,2.6472
23.08602692,2.77032
23.211022946,2.77032
23.336020649,2.77032
23.461024935,1.84688
23.58602408,-2.7e-08
23.711034179,-1.84688
23.836019942,-2.15469
23.961025427,-2.15469
24.086031609,-0.615627
24.211019296,1.64167
24.336020058,0
24.461025744,0
24.586018167,0
24.711020293,4.6172
24.836020895,4.6172
24.96102197,3.07813
25.086025165,-1.8e-08
25.211025589,-3.07813
25.336015694,-3.59115
25.461023244,0
25.586014232,0
25.711033332,0
25.836016609,0
25.961024674,0
