time,Master1Paths4.StdSlave_1.ClockServo.OffsetFromMaster:vector
0.371923790771,0
0.387557552875,0
0.40318355158,0
0.41880855622,0
0.434424750074,0
0.450045811523,0.00240051
0.465692146187,0.00239972
0.481299287165,0.00239973
0.496930876086,0
0.512541812969,0
0.528179426774,0
0.54379598541,8.58e-07
0.559424687118,7.80333e-07
0.575050565538,7.4065e-08
0.590685752517,-1.48445e-07
0.606294528788,-4.58606e-07
0.621922874567,-4.58606e-07
0.637546228879,3.12852e-07
0.653185713735,3.12852e-07
0.668800900607,2.4775e-07
0.684420397099,1.09101e-07
0.700040795256,1.09101e-07
0.715673809152,-4.44261e-07
0.731307733406,-4.44261e-07
0.746936852407,-4.97926e-07
0.762547119254,1.31913e-06
0.778170099912,9.3532e-08
0.793799042933,3.98111e-07
0.809436372538,5.5708e-07
0.825044475274,9.2608e-07
0.840677631397,8.51188e-07
0.856300292217,5.92896e-07
0.871918160764,6.40433e-07
0.887552061723,6.91336e-07
0.903165151425,2.43477e-07
0.918799445086,6.3107e-08
0.934427379831,6.3107e-08
0.950052237447,-1.97484e-06
0.965678293416,-1.97484e-06
0.981298874292,-1.61568e-06
0.996921534819,-9.16012e-07
1.012546068092,1.53999e-06
1.028163435532,2.16651e-06
1.043798951535,1.53999e-06
1.059432400071,1.10361e-06
1.075046743387,-1.21921e-06
1.090676910657,-1.0124e-06
1.106301217926,-1.4397e-06
1.121930164608,-5.32962e-07
1.137552258309,-5.32962e-07
1.153160687903,1.67081e-06
1.168801581883,1.01388e-06
1.184423877779,-4.27527e-07
1.200061302979,-2.54415e-06
1.215677415719,-7.11485e-07
1.231291191489,-8.87051e-07
1.246926726364,-2.42906e-06
1.262557207911,-2.88149e-06
1.278182051035,-1.05157e-06
1.293805214805,-7.87087e-07
1.309431514447,-1.13514e-07
1.325048570004,2.42681e-06
1.340682629089,3.40235e-06
1.356296282088,3.40235e-06
1.371928951333,1.68982e-06
1.387550685045,3.30478e-07
1.40317611133,-7.25059e-07
1.418801317711,-1.97564e-06
1.434428311499,-1.68713e-06
1.45006148837,-5.91941e-07
1.465684965011,4.7805e-07
1.48130628757,1.65114e-06
1.496928079884,2.61778e-06
1.512551616581,3.11484e-06
1.528179850865,2.05096e-06
1.543815983918,1.00308e-06
1.55943438637,1.00308e-06
1.575047427344,1.00308e-06
1.590677149734,-6.5118e-08
1.60630294032,-6.95538e-07
1.621926826736,-1.33897e-06
1.637557215629,-1.33897e-06
1.653178046761,-1.23851e-06
1.668796747766,-1.10548e-06
1.684432089238,-9.10402e-07
1.700058341783,-7.00069e-07
1.715675230344,-7.00069e-07
1.731306258561,-4.89984e-07
1.746939476416,-8.9767e-07
