time,Master1Paths4.AVGSlave_1.PTP_Stack[0].offsetFromMaster:vector
0,0
0,0
10.063389948,0
10.188395806,0
10.313403741,0
10.438391488,2.132e-06
10.563388688,1.468e-06
10.688396352,9.28e-07
10.813383854,2.195e-06
10.938386414,1.702e-06
11.063398755,1.107e-06
11.188398033,1.107e-06
11.313392002,1.126e-06
11.438388513,5.93e-07
11.563383307,3.42e-07
11.688379902,2.82e-07
11.813399061,2.82e-07
11.938387364,4.4e-08
12.063397213,4.4e-08
12.18839237,-2.11e-06
12.313393854,-1.396e-06
12.438386202,-3.79e-07
12.563383422,2.153e-06
12.688386768,1.647e-06
12.813399642,1.916e-06
12.938385747,1.609e-06
13.063400505,1.609e-06
13.188386664,1.634e-06
13.313391917,1.312e-06
13.438390585,1.79e-06
13.5633919,2.107e-06
13.688391755,1.136e-06
13.813394187,6.32e-07
13.938385889,1.053e-06
14.06339633,2.37e-07
14.188398293,-3.25e-07
14.313387252,4.9e-07
14.438390077,5.81e-07
14.563380809,6.45e-07
14.688397789,6.45e-07
14.813397744,1.66e-06
14.938395572,1.192e-06
15.063396192,1.969e-06
15.188402169,1.17e-07
15.313388689,1.709e-06
15.438381897,1.218e-06
15.563392047,9.66e-07
15.68838947,6.66e-07
15.813395092,6.66e-07
15.938377229,6.38e-07
16.063392928,6.38e-07
16.188402155,3.9e-08
16.313390549,2.44e-07
16.438391244,6.52e-07
16.56339726,3.85e-07
16.688385654,-2.92e-07
16.813380565,1.77e-07
16.938385541,-2.7e-08
17.063387383,3.4e-08
17.188387862,1.2e-07
17.313393583,3.59e-07
17.438389899,3.55e-07
17.563389121,3.55e-07
17.688386672,3.05e-07
17.813389663,3.46e-07
17.93838704,1.287e-06
18.063409987,1.585e-06
18.188386196,2.894e-06
18.313399159,4.105e-06
18.438395455,3.539e-06
18.563389901,2.328e-06
18.688397531,1.664e-06
18.813398632,1.342e-06
18.938391868,1.342e-06
19.063387826,1.747e-06
19.188390439,3.43e-06
19.313393582,3.43e-06
19.438399817,2.867e-06
19.56338825,1.777e-06
19.688388892,2.022e-06
19.813380661,1.041e-06
19.93838759,6.26e-07
20.063392769,3.87e-07
20.188402788,-4.1e-08
20.313401011,-4.1e-08
20.438389717,3.37e-07
20.563383316,7.82e-07
20.688392625,1.594e-06
20.813389997,1.594e-06
20.938390031,1.574e-06
21.063394679,1.367e-06
21.188384901,1.475e-06
21.313395133,1.021e-06
21.438391496,6.24e-07
21.56338387,-1.28e-07
21.688396159,-1.323e-06
21.813384905,-2.245e-06
21.938379904,-1.221e-06
22.063398526,-8.45e-07
22.188391478,-1.3e-07
22.31340215,1.05e-06
22.438403982,1.274e-06
