time,Master1Paths4.AVGSlave_1.ClockServo.OffsetFromMaster:vector
8.189279814,0
8.314290897,0
8.439282853,0
8.564284753,0
8.689286248,0
8.814277164,0.00207466
8.939273221,0.00207456
9.064286408,0.00207447
9.1892842,0
9.314280204,0
9.43928763,0
9.564291515,6.8e-08
9.68928368,5.75e-07
9.814283556,4.11e-07
9.939277634,-2.55e-07
10.063389948,-2.55e-07
10.064283213,-2.33e-07
10.074415023,-2.33e-07
10.086008007,-2.33e-07
10.188395806,-2.33e-07
10.189280625,0
10.19939701,0
10.211024165,0
10.313403741,0
10.314294687,-1.8e-07
10.324402333,-1.8e-07
10.336024222,-1.8e-07
10.438391488,-1.8e-07
10.439287694,0
10.449409528,-3.92e-07
10.461019574,-3.92e-07
10.563388688,-3.92e-07
10.564286076,-3.92e-07
10.574408405,-2.06e-07
10.586018729,-2.06e-07
10.688396352,-2.06e-07
10.689290738,-2.06e-07
10.699391951,-5.7e-08
10.71101837,-5.7e-08
10.813383854,-5.7e-08
10.81428345,-5.7e-08
10.824395796,-1.271e-06
10.836018944,-1.271e-06
10.938386414,-1.271e-06
10.939276413,-1.271e-06
10.9493936,-1.271e-06
10.961016908,-1.271e-06
11.063398755,-1.271e-06
11.064290956,-1.271e-06
11.074406527,3.36e-07
11.086010347,3.36e-07
11.188398033,3.36e-07
11.189280082,2.74e-07
11.199414389,2.74e-07
11.211012514,2.74e-07
11.313392002,2.74e-07
11.314277732,5.45e-07
11.324401914,1.126e-06
11.336016794,4.94e-07
11.438388513,4.94e-07
11.439281511,4.94e-07
11.449400723,4.94e-07
11.461029775,5.93e-07
11.563383307,3.42e-07
11.564290463,3.42e-07
11.574399758,3.42e-07
11.586018523,3.42e-07
11.688379902,2.82e-07
11.689289658,2.82e-07
11.699407952,2.82e-07
11.71102938,2.82e-07
11.813399061,2.82e-07
11.814289889,2.82e-07
11.824405077,2.82e-07
11.836023006,2.82e-07
11.938387364,4.4e-08
11.939291501,4.4e-08
11.949399749,4.4e-08
11.961019838,4.4e-08
12.063397213,4.4e-08
12.064289302,4.4e-08
12.074401398,4.4e-08
12.086018209,4.4e-08
12.18839237,-2.11e-06
12.189287866,-2.11e-06
12.199409538,-2.11e-06
12.211027792,-2.11e-06
12.313393854,-1.396e-06
12.314294324,-1.396e-06
12.324400097,-1.396e-06
12.336031225,-1.396e-06
12.438386202,-3.79e-07
12.439291798,-1.655e-06
12.449414439,-1.655e-06
12.461014691,-1.655e-06
12.563383422,-1.655e-06
12.564288018,-1.655e-06
12.574405596,-1.655e-06
12.586016731,-1.655e-06
12.688386768,-1.655e-06
12.689291077,-1.207e-06
12.699401553,-1.207e-06
12.71101713,-1.207e-06
12.813399642,-1.207e-06
12.814292012,1.039e-06
12.824407005,1.066e-06
12.836019525,1.212e-06
12.938385747,1.212e-06
12.939286033,1.212e-06
12.949404102,1.348e-06
12.961022536,1.348e-06
13.063400505,1.348e-06
13.064281881,1.348e-06
13.074406714,1.517e-06
13.086013007,1.517e-06
13.188386664,1.517e-06
13.189275185,1.517e-06
13.199401887,1.517e-06
13.211012932,1.517e-06
13.313391917,1.312e-06
13.314285301,1.312e-06
13.324402409,1.226e-06
13.336019628,1.226e-06
13.438390585,1.226e-06
13.439277077,1.226e-06
13.449415193,9.41e-07
13.461015433,9.41e-07
13.5633919,9.41e-07
13.564281769,9.41e-07
13.57440844,5.4e-07
13.586022182,5.4e-07
13.688391755,5.4e-07
13.689284791,5.4e-07
13.699406843,1.63e-07
13.711032659,1.63e-07
13.813394187,1.63e-07
13.814282469,1.63e-07
13.824407577,-7.4e-08
13.836028718,-7.4e-08
13.938385889,-7.4e-08
13.939293207,-7.4e-08
13.949414995,-7.4e-08
13.961014375,-7.4e-08
14.06339633,-7.4e-08
14.064283999,-1.97e-07
14.074415359,-1.97e-07
14.086016184,-1.97e-07
14.188398293,-3.25e-07
14.189279366,-3.25e-07
14.19940501,-3.25e-07
14.21102244,-3.25e-07
14.313387252,-2.25e-07
14.31427916,-2.25e-07
14.324403579,-2.25e-07
14.336024441,-6.55e-07
14.438390077,-6.55e-07
14.439275848,-6.55e-07
14.449398027,-6.55e-07
14.461013892,-1.659e-06
14.563380809,-1.659e-06
14.564278534,-1.659e-06
14.57440748,-1.659e-06
14.586015807,-1.659e-06
14.688397789,-1.659e-06
14.689292104,-1.659e-06
14.699400795,-1.659e-06
14.711017312,-1.407e-06
14.813397744,-1.407e-06
14.814293165,-1.407e-06
14.824401456,-1.407e-06
14.836023216,-4.33e-07
14.938395572,-4.33e-07
14.939274459,-4.33e-07
14.949393584,-4.33e-07
14.961023864,3.65e-07
15.063396192,3.65e-07
15.064274156,7.42e-07
15.074398121,7.42e-07
15.086023225,7.42e-07
15.188402169,1.17e-07
15.189287847,1.17e-07
15.199399964,1.17e-07
15.211022182,1.17e-07
15.313388689,7.39e-07
15.314281924,7.39e-07
15.324403671,7.39e-07
15.336018996,7.39e-07
15.438381897,7.39e-07
15.439287866,1.218e-06
15.449400808,1.218e-06
15.461018781,1.218e-06
15.563392047,9.66e-07
15.564279714,9.66e-07
15.574413997,9.66e-07
15.586028617,9.66e-07
15.68838947,6.66e-07
15.68928082,6.66e-07
15.699403239,6.66e-07
15.71102511,6.66e-07
15.813395092,6.66e-07
15.814294221,4.62e-07
