time,Master1Paths4.AVGSlave_1.PTP_Stack[1].offsetFromMaster:vector
0,0
0,0
10.074415023,0
10.19939701,0
10.324402333,0
10.449409528,-3.92e-07
10.574408405,-2.06e-07
10.699391951,-5.7e-08
10.824395796,-1.271e-06
10.9493936,-1.271e-06
11.074406527,3.36e-07
11.199414389,5.45e-07
11.324401914,1.772e-06
11.449400723,1.772e-06
11.574399758,9.38e-07
11.699407952,7.55e-07
11.824405077,5.01e-07
11.949399749,5.01e-07
12.074401398,3.84e-07
12.199409538,4.46e-07
12.324400097,7.56e-07
12.449414439,1.039e-06
12.574405596,5.74e-07
12.699401553,1.039e-06
12.824407005,1.212e-06
12.949404102,1.348e-06
13.074406714,1.517e-06
13.199401887,1.517e-06
13.324402409,1.226e-06
13.449415193,9.41e-07
13.57440844,5.4e-07
13.699406843,1.63e-07
13.824407577,-7.4e-08
13.949414995,-7.4e-08
14.074415359,-1.69e-07
14.19940501,-1.31e-07
14.324403579,1.6e-07
14.449398027,1.64e-07
14.57440748,6.16e-07
14.699400795,9.98e-07
14.824401456,1.451e-06
14.949393584,1.282e-06
15.074398121,1.387e-06
15.199399964,1.387e-06
15.324403671,1.387e-06
15.449400808,1.793e-06
15.574413997,1.486e-06
15.699403239,1.631e-06
15.824403127,4.35e-07
15.949392872,8.21e-07
16.074420052,2.21e-07
16.199403753,-5.06e-07
16.324395755,-5.29e-07
16.449408126,1.5e-08
16.574399551,2.7e-08
16.699399669,-5.4e-07
16.824396827,8.3e-08
16.949410572,1.98e-07
17.074406157,2.69e-07
17.199402815,-4.78e-07
17.32440172,3.58e-07
17.449409744,3.39e-07
17.574401717,-1.56e-07
17.699399518,-1.26e-07
17.824400786,4.26e-07
17.949409384,8.41e-07
18.074412423,4.11e-07
18.199406437,4.11e-07
18.324402636,-1.136e-06
18.449410231,-2.418e-06
18.574399946,-2.418e-06
18.699402582,-1.355e-06
18.824396256,6.99e-07
18.949403407,2.605e-06
19.074413749,2.943e-06
19.199397299,2.943e-06
19.324409299,3.541e-06
19.449413029,3.225e-06
19.574408145,2.742e-06
19.699411997,1.479e-06
19.824411174,-5.7e-08
19.949401907,-3.58e-07
20.074398753,-1.968e-06
20.199408181,-1.968e-06
20.324392953,-8.83e-07
20.449404759,9.2e-07
20.574395331,1.366e-06
20.69939633,1.53e-06
20.824399691,1.53e-06
20.94940253,2.441e-06
21.07439905,3.12e-06
21.199400307,2.141e-06
21.324397453,1.54e-07
21.449408077,1.133e-06
21.574405872,-1.79e-07
21.699384944,-1.318e-06
21.824403093,4.61e-07
21.949393688,7.97e-07
22.07442124,7.97e-07
22.199403786,1.218e-06
22.324397693,1.581e-06
