time,Master1Paths4.FTASlave_1.ClockServo.OffsetFromMaster:vector
0.325863485091,0
0.340676227698,0
0.341494685344,0
0.356302359051,0
0.35710210163,0
0.371916195204,0
0.372735832454,0.00140608
0.375881624891,0
0.378638116639,0
0.387552605582,0
0.388355422053,0
0.391518536769,0
0.394263349634,0
0.403177037753,0.00140608
0.403990095782,0.00140608
0.407139525115,0.00140608
0.409891768417,0.00140608
0.418796935983,0.00140608
0.419617863399,0.00140608
0.422768683844,0.00140608
0.425521469043,0.00140608
0.43378065666,0.00194002
0.43444095726,0.00194002
0.438392126923,0.00194002
0.445386993449,0.000533939
0.449419248257,0
0.450059131685,0
0.454007954193,0
0.461020532808,0
0.46503394017,0
0.465673438909,0
0.469647534346,0
0.476648176542,0
0.480657511774,0
0.481295384727,-7.59319e-06
0.48526873086,-5.18389e-05
0.492260568572,-5.18389e-05
0.496283714638,-0.000104462
0.496927483561,-0.000192342
0.500899475596,-0.000280926
0.507901393296,-0.000282921
0.511905741048,-0.000282921
0.51255728587,-0.000282921
0.516524625984,-0.000281431
0.523524081614,-0.000233021
0.527520258268,-0.000186344
0.528180448312,-9.3042e-05
0.532144833899,-9.3042e-05
0.539147817285,0
0.543148422756,0
0.543811320373,0
0.547759716676,0
0.554761953898,0
0.55877958068,0
0.559435589132,0
0.563376025199,0.00013368
0.570393353882,0.000215391
0.574410755491,0.000215391
0.575064494156,0.000458674
0.57902406512,0.000427732
0.586019740415,0.000427732
0.590016272415,0.000427732
0.59067659264,0.000421455
0.594641588751,0.000419279
0.601633686058,0.000209114
0.605643380809,0.000209114
0.606303870005,0.000104681
0.610268145329,0
0.617268687774,0
0.62128745239,0
0.621927860627,0
0.625898333955,0
0.632894570631,0
0.636910985787,0
0.637546635165,0
0.641510523439,0
0.648515074213,-0.000307313
0.652537386239,-0.00031655
0.653173495192,-0.00031655
0.657138170931,-0.000650626
0.664136339995,-0.000633461
0.668156662097,-0.000633461
0.668803498723,-0.000633461
0.672764941023,-0.000598796
