time,Master1Paths4.AVGSlave_1.PTP_Stack[2].offsetFromMaster:vector
0,0
0,0
0.363016630916,0
0.378650178796,0
0.394261957177,0
0.409893057007,0
0.433780907766,0
0.44942224257,0
0.46503723703,0
0.480648376546,0
0.496276429877,0
0.511913598929,0
0.527518969339,0
0.543147752588,0
0.558772406586,0
0.574406630823,0
0.590028682874,0.00228107
0.60564859858,0.00217406
0.621284486189,0.00217406
0.636906447193,0
0.652530509719,0
0.668163714159,0
0.683779133215,-0.0014882
0.699406371044,-0.00139976
0.715015306336,-0.00118738
0.730646082359,0
0.746275085715,0
0.761900528594,0
0.777526260981,0
0.793153573516,0
0.80877206544,0
0.824427926172,0
0.840034572234,0
0.85564944558,0
0.871261300786,0
0.886894587297,0
0.902528177474,0
0.918153613456,0.00035692
0.933778933425,0.000371694
0.949411562511,0.000371694
0.965030018478,0
0.980648835984,0
0.996282181879,0
1.011924970798,-0.000459505
1.027526071035,-0.000431935
1.043146379675,-0.000367906
1.058790246565,0
1.07441923359,0
1.09003048584,0
1.105638061206,0.000239262
1.121293867599,0
1.136913263113,0
1.15252241832,0
1.168144172711,-0.00032074
1.183776595728,-0.000270452
1.199406238723,-0.000147043
1.215023108312,0
1.230641205828,0
1.246279751792,0
1.261908551091,0
1.277525069365,0
1.293146203589,0
1.30877541351,-0.000396095
1.324420604789,-0.000411397
1.340015853441,-0.000411397
1.355652922691,0
1.371273991047,0
1.386917869021,0
1.402521021107,0.000504418
1.418157922609,0.000473576
1.433780637322,0.00040406
1.449409227342,0
1.465027626877,0
1.480654985116,0
1.496277125607,-0.000352919
1.511921427901,-0.000291817
1.527522208202,-0.000142878
1.543142647639,0
1.558767344182,0
1.574410583674,0
1.590033541488,0
1.605643030745,0
1.621272718469,0
1.636905356431,-0.000479369
1.652525036549,-0.000464166
1.668150669004,-0.000464166
1.683788811276,0
1.699409210317,0
1.715028020764,0
1.730644233865,0.000252809
1.746273801286,0
1.761908668504,0
1.777518291629,0
1.793145607858,-0.000339274
1.808781865659,-0.0002852
1.824413519269,-0.0002852
1.840026149003,0
1.855641800988,0
1.871280596357,0
1.886908480727,0.000381085
1.902516617442,0.000315971
1.91815377062,0.000157498
1.933787811521,0
1.94941389188,0
1.965021026226,0
1.980647966689,0
1.996285546536,0
2.011897951082,0
2.027519422001,0.000217413
2.043147187189,0.00021155
2.058777324144,0.00021155
2.074412076127,0
2.090028511261,0
2.105654366114,0
2.121272586551,-0.000331239
2.136923162507,-0.000278281
2.152528584248,-0.000148682
2.168154285266,0
2.183774613065,0
2.199427580545,0
2.21502924438,0
2.230646958082,0
2.246280638166,0
2.261917942054,-0.00041427
2.277522277,-0.000399053
