time,Master1Paths4.FTASlave_1.PTP_Stack[3].offsetFromMaster:vector
0,0
0,0
10.064280928,0
10.189283593,0
10.314294529,0
10.439282468,0
10.564291824,0.00131704
10.689285262,0.00131579
10.814285767,0.000878546
10.939280749,6.654e-06
11.064287467,-0.00086947
11.189275333,-0.00101476
11.314284524,0
11.43927913,0
11.564283173,0
11.6892911,0.00304974
11.814291561,0.00309799
11.939293998,0.00319443
12.064287232,0.00319443
12.189291512,0.00213043
12.314292072,3.3e-06
12.439286344,-0.00212305
12.564286119,-0.00247869
12.68929022,-0.00247869
12.814297401,0
12.939286444,0
13.064289224,0
13.18928076,0.00779371
13.314283768,0.00779421
13.439276365,0.0077949
13.564289016,0
13.689280918,0
13.814280487,0
13.939287904,-0.00779196
14.064291098,-0.00606048
14.189274761,-0.0017317
14.31427909,0
14.439277906,0
14.564281357,0
14.68929407,0.0190494
14.814284347,0.0190494
14.939281517,0.0190493
15.064276376,0
15.189286613,0
15.314282172,0
15.439286234,0
15.564279892,0
15.689287154,0
15.814281311,0
15.939279735,0
16.064284207,0
16.189274629,0.0465615
16.314280052,0.0465614
16.439281023,0.0310412
16.564275112,1.492e-06
16.689293655,-0.0310381
16.81428859,-0.0362115
16.939293616,0
17.064291141,0
17.189289527,0
17.314282854,0.108633
17.439290491,0.110357
17.564291044,0.113806
17.689282188,0.113806
17.814275434,0.0758719
17.939279606,3.295e-06
18.064291959,-0.0758662
18.189276282,-0.0885125
18.314275989,-0.0885125
18.439289473,0
18.564286372,0
18.689274274,0
18.814275524,0.278183
18.939278078,0.278183
19.064275444,0.278183
19.189281973,0
19.314288721,0
19.43928636,0
19.564297264,-0.278176
19.689278663,-0.216359
19.814273472,-0.0618156
19.93928063,0
20.064274188,0
20.1892874,0
20.314289415,0.67999
20.439281329,0.679989
20.564280191,0.679989
20.689278621,0
20.81428528,0
20.939291575,0
21.064283756,0
21.189290907,0
21.314287985,0
21.439278719,0
21.564289872,0
21.689281814,0
21.814283032,1.6622
21.939297477,1.66219
22.064278045,1.10813
22.189289765,7.63e-07
22.31429526,-1.10813
22.439300545,-1.29282
22.564297268,0
22.6892812,0
22.814289209,0
22.939284723,0
23.064290847,0
23.189277917,2.77032
23.314293507,2.77032
23.439296773,2.77032
23.564294651,0
23.689282374,0
23.814281802,0
23.939297174,0
24.064293906,0
24.189279193,0
24.314279317,4.30939
24.439290213,4.41199
24.564276362,4.6172
24.689291887,4.6172
24.814299423,4.6172
24.939281104,0
25.064280078,0
25.189289882,0
25.314274468,-4.6172
25.439285307,-3.59116
25.564291369,-1.02604
25.68929294,2.73612
25.814297037,5.81425
25.939278872,7.35332
26.064295309,7.69533
26.18928696,0
