time,Master1Paths4.AVGSlave_1.PTP_Stack[3].offsetFromMaster:vector
0,0
0,0
8.189279814,0
8.314290897,0
8.439282853,0
8.564284753,0
8.689286248,0
8.814277164,0.00207466
8.939273221,0.00207456
9.064286408,0.00207447
9.1892842,0
9.314280204,0
9.43928763,0
9.564291515,6.8e-08
9.68928368,5.75e-07
9.814283556,4.11e-07
9.939277634,-2.55e-07
10.064283213,-2.33e-07
10.189280625,8.54e-07
10.314294687,-1.8e-07
10.439287694,9.6e-08
10.564286076,2.63e-07
10.689290738,2.63e-07
10.81428345,7.8e-08
10.939276413,2.41e-07
11.064290956,3.47e-07
11.189280082,2.74e-07
11.314277732,2.113e-06
11.439281511,3.288e-06
11.564290463,2.377e-06
11.689289658,2.833e-06
11.814289889,2.833e-06
11.939291501,2.346e-06
12.064289302,1.701e-06
12.189287866,9.44e-07
12.314294324,3.99e-07
12.439291798,-1.655e-06
12.564288018,-1.655e-06
12.689291077,-1.207e-06
12.814292012,1.297e-06
12.939286033,2.392e-06
13.064281881,2.798e-06
13.189275185,2.798e-06
13.314285301,1.885e-06
13.439277077,1.364e-06
13.564281769,1.364e-06
13.689284791,5.8e-07
13.814282469,1.94e-07
13.939293207,-6.9e-08
14.064283999,-1.97e-07
14.189279366,-1.97e-07
14.31427916,-1.45e-07
14.439275848,-2.8e-08
14.564278534,2.13e-07
14.689292104,2.13e-07
14.814293165,2.13e-07
14.939274459,3.65e-07
15.064274156,7.42e-07
15.189287847,7.39e-07
15.314281924,7.39e-07
15.439287866,1.255e-06
15.564279714,1.33e-06
15.68928082,1.178e-06
15.814294221,4.62e-07
15.939284101,1.031e-06
16.064281816,2.14e-07
16.18928192,-5.8e-08
16.314278857,-5.8e-08
16.439272465,5.2e-08
16.564281127,5.2e-08
16.689295018,3.6e-07
16.814291184,4.42e-07
16.939298666,2.49e-07
17.064282285,2.9e-07
17.189289836,2.91e-07
17.314279028,2.66e-07
17.439288619,2.66e-07
17.564290223,2.67e-07
17.689279503,-9.83e-07
17.814284602,-1.834e-06
17.939275457,-5.78e-07
18.064300241,-3.17e-07
18.189279009,-2e-09
18.314278873,1.443e-06
18.439288633,2.205e-06
18.56428602,2.544e-06
18.689272209,2.544e-06
18.814280992,2.937e-06
18.939283436,2.817e-06
19.064274465,2.659e-06
19.18929001,2.674e-06
19.314290603,2.674e-06
19.439297984,1.983e-06
19.564291693,7.25e-07
19.689286376,5.3e-08
19.814275383,-1.71e-07
19.939288102,2.77e-07
20.06427885,2.77e-07
20.189285348,3.27e-07
20.314291727,5.36e-07
20.439286454,9.1e-07
20.564280576,9.1e-07
20.689283132,1.267e-06
20.81428927,1.4e-06
