time,Master1Paths4.FTASlave_1.PTP_Stack[1].offsetFromMaster:vector
0,0
0,0
10.074416169,0
10.199398707,0
10.324400016,0
10.449408689,0.00131697
10.574402084,0.00131705
10.699393188,0.00131668
10.824394182,0
10.94940045,0
11.074412683,0
11.199413251,0
11.324411643,0
11.449408648,0
11.574397601,0
11.699401747,0
11.824400606,0
11.949405011,0.00319636
12.074401968,0.0031951
12.199419727,0.00213052
12.324406186,6.74e-07
12.449418508,-0.00212761
12.574405225,-0.00248199
12.69939618,0
12.824400462,0
12.949401835,0
13.074405469,0.00744076
13.199407581,0.0075589
13.324408534,0.00779518
13.44940134,0.00779518
13.57441177,0.00519692
13.69939026,1.738e-06
13.824403249,-0.00519406
13.94941486,-0.00606036
14.074416122,-0.00606036
14.199410573,0
14.324411692,0
14.449393024,0
14.574408523,0.0190452
14.699408609,0.0190465
14.824399827,0.0190485
14.949402356,0
15.074393162,0
15.199408364,0
15.324405877,-0.0190476
15.449399786,-0.0148141
15.574407359,-0.00423258
15.699405134,0
15.82440921,0
15.949388279,0
16.074418327,0.0465614
16.199402055,0.0465619
16.324393428,0.0465619
16.449414094,0
16.57439385,0
16.699396555,0
16.824395694,0
16.949403919,0
17.074410622,0
17.199401337,0
17.32440297,0
17.449401456,0
17.574402884,0.113807
17.699405029,0.113806
17.824396891,0.0758697
17.94941219,1.2e-07
18.074406291,-0.0758687
18.199407257,-0.0885105
18.324400957,0
18.44941233,0
18.574391783,0
18.69939918,0.265541
18.824395083,0.269755
18.949394994,0.278183
19.074409151,0.278183
19.199390384,0.185454
19.324410509,4.2e-07
19.44941144,-0.185453
19.574407691,-0.216362
19.699410636,-0.216362
19.824401495,0
19.949399482,0
20.074398342,0
20.19940385,0.679989
20.324401529,0.679989
20.4494153,0.679989
20.574393903,0
20.69939939,0
20.82440547,0
20.949401933,-0.679987
21.074403479,-0.52888
21.199402575,-0.151111
21.3243931,0
21.449412342,0
21.574404206,0
21.69939722,1.6622
21.824410528,1.6622
21.949390861,1.66219
22.07441782,0
22.199407941,0
22.324403446,0
22.449407612,0
22.574396247,0
22.699397157,0
22.824400273,2.58564
22.949404615,2.6472
23.074410345,2.77032
23.199395732,2.77032
23.324403717,2.77032
23.449394739,0
23.574387587,0
23.699401704,0
23.824398738,-2.77032
23.949392597,-2.15469
24.074398785,-0.615628
24.199408981,1.64167
24.324399398,3.48855
24.449403989,4.41199
24.574407348,4.6172
24.699404896,4.6172
24.824404025,4.6172
24.949391481,3.07814
25.074403744,1.272e-06
25.199417972,-3.07813
25.324393201,-3.59116
25.44940323,-3.59116
25.57441083,-1.02604
25.699399904,2.73612
25.82440338,5.81425
25.949393419,7.35332
