time,Master1Paths4.timeDiff_Std.ScaledTimeDiff:vector
32.57,-4.57255e-07
32.58,-4.6078e-07
32.59,-4.2222e-07
32.6,-4.36971e-07
32.61,-4.97901e-07
32.62,-6.38297e-07
32.63,-7.80836e-07
32.64,-9.23376e-07
32.65,-1.00165e-06
32.66,-1.06925e-06
32.67,-1.139e-06
32.68,-1.15715e-06
32.69,-1.15167e-06
32.7,-1.12573e-06
32.71,-1.135e-06
32.72,-1.16768e-06
32.73,-1.19613e-06
32.74,-1.19583e-06
32.75,-1.16349e-06
32.76,-1.09344e-06
32.77,-1.01305e-06
32.78,-9.20201e-07
32.79,-8.27271e-07
32.8,-7.38711e-07
32.81,-6.65351e-07
32.82,-5.13767e-07
32.83,-3.35271e-07
32.84,-2.76401e-07
32.85,-1.92382e-07
32.86,-8.6612e-08
32.87,4.3208e-08
32.88,1.59578e-07
32.89,2.55758e-07
32.9,3.06655e-07
32.91,3.62041e-07
32.92,4.48931e-07
32.93,4.20132e-07
32.94,3.55587e-07
32.95,3.35087e-07
32.96,3.05132e-07
32.97,2.65922e-07
32.98,1.47912e-07
32.99,-9.0838e-08
33,-4.63668e-07
33.01,-5.86019e-07
33.02,-6.8127e-07
33.03,-7.7151e-07
33.04,-7.72938e-07
33.05,-6.9695e-07
33.06,-4.3559e-07
33.07,-1.74217e-07
33.08,7.9509e-08
33.09,2.63299e-07
33.1,3.96599e-07
33.11,4.86389e-07
33.12,5.46416e-07
33.13,6.05611e-07
33.14,6.64811e-07
33.15,6.99375e-07
33.16,7.17102e-07
33.17,7.03512e-07
33.18,6.33126e-07
33.19,5.24965e-07
33.2,3.32655e-07
33.21,1.4034e-07
33.22,-5.4185e-08
33.23,-3.07115e-07
33.24,-5.46562e-07
33.25,-7.71002e-07
33.26,-8.21922e-07
33.27,-8.74063e-07
33.28,-9.60413e-07
33.29,-1.03536e-06
33.3,-1.06846e-06
33.31,-9.67411e-07
33.32,-9.68986e-07
33.33,-1.03068e-06
33.34,-1.16013e-06
33.35,-1.17174e-06
33.36,-1.0814e-06
33.37,-9.54234e-07
33.38,-8.55397e-07
33.39,-7.98547e-07
33.4,-7.00937e-07
33.41,-5.96076e-07
33.42,-4.91216e-07
33.43,-3.99232e-07
33.44,-3.17763e-07
33.45,-2.65493e-07
33.46,-2.13223e-07
33.47,-1.60718e-07
33.48,-1.01948e-07
33.49,-4.3552e-08
33.5,1.4428e-08
33.51,8.5988e-08
33.52,1.70525e-07
33.53,2.76815e-07
33.54,3.56867e-07
33.55,4.15316e-07
33.56,4.23706e-07
33.57,4.50989e-07
33.58,4.83536e-07
33.59,4.75336e-07
33.6,4.58597e-07
33.61,4.34497e-07
33.62,4.0923e-07
33.63,3.8393e-07
33.64,3.5863e-07
33.65,1.85808e-07
33.66,-1.155e-09
33.67,-1.57575e-07
33.68,-3.14002e-07
33.69,-4.74182e-07
33.7,-6.53822e-07
33.71,-7.31508e-07
33.72,-7.36998e-07
33.73,-6.37738e-07
33.74,-5.16846e-07
33.75,-3.71986e-07
33.76,-2.08895e-07
33.77,-4.4021e-08
33.78,1.20859e-07
33.79,2.85747e-07
33.8,4.453e-07
33.81,5.864e-07
33.82,6.79944e-07
33.83,7.50581e-07
33.84,8.34281e-07
33.85,8.96276e-07
33.86,9.39486e-07
33.87,9.88829e-07
33.88,1.02976e-06
33.89,1.05837e-06
33.9,1.06304e-06
33.91,1.02091e-06
33.92,8.72524e-07
33.93,6.84413e-07
33.94,4.69988e-07
33.95,1.97478e-07
33.96,-6.2867e-08
33.97,-3.13809e-07
33.98,-5.30239e-07
33.99,-6.92556e-07
34,-7.94796e-07
34.01,-8.09134e-07
34.02,-7.68907e-07
34.03,-6.42847e-07
34.04,-4.71327e-07
34.05,-2.81146e-07
34.06,-6.9166e-08
34.07,1.42821e-07
34.08,3.42234e-07
34.09,4.27424e-07
34.1,4.52288e-07
34.11,4.24888e-07
34.12,3.47289e-07
34.13,2.68285e-07
34.14,1.89275e-07
34.15,1.06788e-07
34.16,2.1309e-08
34.17,-7.0111e-08
34.18,-8.1302e-08
34.19,-5.5164e-08
34.2,6.316e-09
34.21,5.8269e-08
34.22,1.06736e-07
34.23,2.32226e-07
34.24,3.69234e-07
34.25,5.19024e-07
34.26,6.49495e-07
34.27,7.77053e-07
34.28,9.02663e-07
34.29,9.84895e-07
34.3,1.03196e-06
34.31,9.98185e-07
34.32,9.11097e-07
34.33,7.94655e-07
34.34,6.60365e-07
34.35,5.42188e-07
34.36,4.37988e-07
34.37,4.336e-07
34.38,4.43797e-07
34.39,4.70987e-07
34.4,6.56397e-07
34.41,8.69901e-07
34.42,1.08341e-06
34.43,1.19764e-06
34.44,1.24072e-06
34.45,1.11094e-06
34.46,1.00243e-06
34.47,9.04511e-07
34.48,7.07721e-07
34.49,4.85336e-07
34.5,2.34526e-07
34.51,7.7006e-08
34.52,-3.9473e-08
34.53,-9.6793e-08
34.54,-1.65192e-07
34.55,-2.19207e-07
34.56,-2.12937e-07
34.57,-1.88471e-07
34.58,-1.58463e-07
34.59,-1.63083e-07
34.6,-1.82549e-07
34.61,-2.14869e-07
34.62,-2.85763e-07
34.63,-3.4636e-07
34.64,-3.9079e-07
34.65,-4.303e-07
34.66,-4.69959e-07
34.67,-5.12189e-07
34.68,-4.20466e-07
34.69,-2.77496e-07
34.7,-1.34526e-07
34.71,-6.93e-09
34.72,1.04291e-07
34.73,5.4081e-08
34.74,1.3683e-08
34.75,-1.5827e-08
34.76,-9.5048e-08
34.77,-1.89331e-07
34.78,-3.02751e-07
34.79,-3.88198e-07
34.8,-4.48971e-07
34.81,-4.50401e-07
34.82,-4.30321e-07
34.83,-4.00021e-07
34.84,-3.76761e-07
34.85,-2.94432e-07
