time,Nodes1Paths2.StandardSlave_1.PTP_Stack.offsetFromMaster:vector
0,0
0,0
0.356304674732,0.00191788
0.371923408548,0.00191383
0.387546903313,7.501e-06
0.403173435177,2.028e-06
0.418810789305,2.56e-06
0.434420406198,2.761e-06
0.450048021577,-1.342e-06
0.465672446474,-7.81e-07
0.481305680576,9.13e-07
0.496930084109,5.06e-07
0.51254591378,-1.52e-07
0.528184941162,7.71e-07
0.543792349241,1.201e-06
0.559431764714,1.184e-06
0.575050940971,1.264e-06
0.59068424993,1.83e-06
0.606296524843,8.66e-07
0.621934293578,-3.312e-06
0.637539600593,1.754e-06
0.653180198571,-1.239e-06
0.668803202696,4.65e-07
0.684428551763,9.25e-07
0.700042453417,4.628e-06
0.715677487326,3.354e-06
0.731292011175,6.933e-06
0.746929825828,-1.1003e-05
0.762549007529,-3.83e-06
0.77818576541,-3.981e-06
0.793801694222,-9.61e-07
0.809425944707,2.86e-07
0.825041822757,1.55e-06
0.840683439909,-2.141e-06
0.856307916838,6.605e-06
0.871926227588,5.11e-07
0.887554977777,9.6e-08
0.903177348887,2.15e-06
0.918807599828,-2.46e-07
0.93441144439,-5.57e-07
0.950047492631,-4.71e-07
0.9656754733,2.265e-06
0.981300865897,-1.721e-06
0.996929871992,-7.41e-07
1.012556170974,3.22e-07
1.02817163074,-2.99e-07
1.04379387846,-7.57e-07
1.05942292519,1.64e-06
1.075042719358,1.6e-06
1.09067289273,-1.032e-06
1.106302154892,1.83e-07
1.121926404109,-1.92e-07
1.137544765895,-2.461e-06
1.153165325335,4e-08
1.168802362427,-3.798e-06
1.184420822592,9.93e-07
1.200054018719,1.401e-06
1.215679409309,3.58e-07
1.231298753783,-2.28e-07
1.246929974383,2.69e-07
1.262539650307,3.19e-07
1.278170486508,5.138e-06
1.293798498893,-5.98e-07
1.309422090683,-4.629e-06
1.325053029626,-6.63e-07
1.340667673013,-6.08e-07
1.356304790677,-2.364e-06
1.371927842326,-1.29e-07
1.387553822701,1.418e-06
1.403170738757,-1.853e-06
1.418803912463,4.39e-07
1.434416720355,1.302e-06
1.450048350296,1.19e-06
1.465675927563,4.56e-07
1.481297162952,3.35e-07
1.496920175819,2.48e-07
1.512547304666,-4.1e-08
1.528171208459,-3.5e-08
1.543808870218,4.7e-08
1.559426423554,2.82e-07
1.575047326463,-6.233e-06
1.590676586819,1.224e-06
1.606300107298,9.85e-07
1.621920516128,8.89e-07
1.637541606828,-2.066e-06
1.653172597284,-2.296e-06
1.668792629969,2.329e-06
1.684423700927,2.015e-06
1.700055860616,3.008e-06
1.715674115904,3.554e-06
1.731298945203,4.471e-06
1.746928075791,-6.88e-07
1.762555170272,-4.329e-06
