time,Nodes1Paths2.timeDiffObserver_Std.ScaledTimeDiff:vector
2.57,-5.6444e-07
2.58,-6.28605e-07
2.59,-6.92215e-07
2.6,-1.55835e-07
2.61,3.21801e-07
2.62,6.25921e-07
2.63,9.12605e-07
2.64,1.08455e-06
2.65,9.16991e-07
2.66,7.70786e-07
2.67,6.3776e-07
2.68,5.2869e-07
2.69,4.05071e-07
2.7,2.69891e-07
2.71,3.11847e-07
2.72,3.49499e-07
2.73,3.80509e-07
2.74,3.47921e-07
2.75,3.13176e-07
2.76,2.94996e-07
2.77,1.12567e-07
2.78,-9.1492e-08
2.79,-1.40682e-07
2.8,-1.51659e-07
2.81,-1.27625e-07
2.82,8.5385e-08
2.83,1.99122e-07
2.84,2.11132e-07
2.85,8.15635e-07
2.86,1.1794e-06
2.87,1.06115e-06
2.88,1.25196e-06
2.89,1.41132e-06
2.9,1.24467e-06
2.91,1.07297e-06
2.92,8.26545e-07
2.93,4.9845e-08
2.94,-2.79829e-07
2.95,-2.55539e-07
2.96,-2.7474e-07
2.97,-2.16737e-07
2.98,-5.7137e-08
2.99,-2.6426e-08
3,-5.4369e-08
3.01,-1.71159e-07
3.02,-3.61906e-07
3.03,-5.24725e-07
3.04,-4.47835e-07
3.05,-5.51825e-07
3.06,-7.47078e-07
3.07,-6.16398e-07
3.08,-3.89478e-07
3.09,-6.4078e-08
3.1,1.04235e-07
3.11,2.48182e-07
3.12,3.69892e-07
3.13,3.31073e-07
3.14,2.52989e-07
3.15,1.71809e-07
3.16,-1.78431e-07
3.17,-6.31242e-07
3.18,-9.18462e-07
3.19,-1.06277e-06
3.2,-1.0934e-06
3.21,-1.04229e-06
3.22,-9.55151e-07
3.23,-8.21171e-07
3.24,-6.62025e-07
3.25,-4.83241e-07
3.26,-2.68541e-07
3.27,8.088e-08
3.28,4.1432e-07
3.29,4.7074e-07
3.3,4.79704e-07
3.31,4.59522e-07
3.32,4.39152e-07
3.33,7.30738e-07
3.34,1.33999e-06
3.35,9.6879e-07
3.36,5.48691e-07
3.37,1.65801e-07
3.38,6.8717e-08
3.39,5.114e-08
3.4,6.874e-08
3.41,-5.1863e-08
3.42,-2.02534e-07
3.43,-9.7734e-08
3.44,1.142e-09
3.45,9.5342e-08
3.46,1.33805e-07
3.47,1.4858e-07
3.48,1.327e-07
3.49,1.29862e-07
3.5,1.11342e-07
3.51,5.3052e-08
3.52,3.2335e-08
3.53,3.4e-11
3.54,-1.42456e-07
3.55,-2.32949e-07
3.56,-2.82015e-07
3.57,-1.70215e-07
3.58,-1.46348e-07
3.59,-2.12548e-07
3.6,-2.36039e-07
3.61,-1.96967e-07
3.62,-5.6667e-08
3.63,9.0824e-08
3.64,2.40992e-07
3.65,3.94112e-07
3.66,4.17475e-07
3.67,3.75799e-07
3.68,2.99719e-07
3.69,2.23472e-07
3.7,1.47092e-07
3.71,5.9363e-08
3.72,-1.6511e-08
3.73,-7.6701e-08
3.74,-2.55745e-07
3.75,-3.384e-07
3.76,-1.641e-07
3.77,-3.66132e-07
3.78,-6.14452e-07
3.79,-4.94062e-07
3.8,-3.82342e-07
3.81,-2.75696e-07
3.82,-1.64896e-07
3.83,-7.4494e-08
3.84,-4.894e-09
3.85,2.63658e-07
3.86,6.43378e-07
3.87,1.18822e-06
3.88,1.19425e-06
3.89,1.16872e-06
3.9,1.44047e-06
3.91,1.41597e-06
3.92,1.29962e-06
3.93,1.52657e-06
3.94,1.49314e-06
3.95,1.25319e-06
3.96,1.0719e-06
3.97,9.25162e-07
3.98,8.23502e-07
3.99,7.36107e-07
4,7.04698e-07
4.01,7.94828e-07
4.02,8.3397e-07
4.03,8.48516e-07
4.04,8.31256e-07
4.05,7.85674e-07
4.06,7.26346e-07
4.07,7.26466e-07
4.08,7.01465e-07
4.09,6.50795e-07
4.1,1.62225e-07
4.11,-3.99878e-07
4.12,-1.03371e-06
4.13,-9.7172e-07
4.14,-7.59165e-07
4.15,-5.92485e-07
4.16,-4.41974e-07
4.17,-3.01967e-07
4.18,-1.83967e-07
4.19,-1.97652e-07
4.2,-3.15852e-07
4.21,2.5169e-07
4.22,5.45556e-07
4.23,4.75786e-07
4.24,4.14703e-07
4.25,3.94567e-07
4.26,4.63487e-07
4.27,5.27272e-07
4.28,5.56569e-07
4.29,4.39089e-07
4.3,3.77865e-07
4.31,3.48633e-07
4.32,2.79353e-07
4.33,2.17897e-07
4.34,1.64417e-07
4.35,9.3856e-08
4.36,9.84e-10
4.37,-1.27806e-07
4.38,-4.9465e-08
4.39,8.434e-09
4.4,-1.49456e-07
4.41,-3.71896e-07
4.42,-6.15354e-07
4.43,-7.92574e-07
4.44,-8.85622e-07
4.45,-9.11842e-07
4.46,-1.02063e-06
4.47,-8.56301e-07
4.48,-3.33711e-07
4.49,-4.1258e-07
4.5,-5.80221e-07
4.51,-7.45231e-07
4.52,-1.10695e-06
4.53,-1.45435e-06
4.54,-1.43619e-06
4.55,-1.39587e-06
4.56,-1.28776e-06
4.57,-2.75546e-07
4.58,2.40084e-07
4.59,2.47894e-07
4.6,4.65588e-07
4.61,4.27433e-07
4.62,-7.2757e-08
4.63,-2.45064e-07
4.64,-4.50537e-07
4.65,-9.98967e-07
4.66,-1.123e-06
4.67,-1.03124e-06
4.68,-8.06661e-07
4.69,-3.20637e-07
4.7,3.73773e-07
4.71,4.87619e-07
4.72,4.26959e-07
4.73,1.42169e-07
4.74,6.7077e-08
4.75,-6.0441e-08
4.76,-3.76541e-07
4.77,-6.54418e-07
4.78,-9.48886e-07
4.79,-1.37563e-06
4.8,-1.26191e-06
4.81,-8.47098e-07
4.82,-9.36618e-07
4.83,-6.53812e-07
4.84,8.688e-09
4.85,9.7302e-08
4.86,1.71719e-07
4.87,2.92129e-07
4.88,3.6432e-08
4.89,-2.36077e-07
4.9,-2.83477e-07
4.91,-4.10484e-07
4.92,-5.5717e-07
4.93,-5.7718e-07
4.94,-6.2459e-07
4.95,-6.938e-07
4.96,-9.73704e-07
4.97,-1.31752e-06
4.98,-1.74357e-06
4.99,-1.67194e-06
5,-1.53551e-06
5.01,-1.41945e-06
5.02,-1.30056e-06
5.03,-1.18373e-06
5.04,-1.08056e-06
5.05,-9.94077e-07
5.06,-9.10154e-07
5.07,-6.99574e-07
5.08,-5.07404e-07
5.09,-3.34014e-07
5.1,-1.83082e-07
5.11,-8.27e-08
5.12,-6.56e-08
5.13,-5.5039e-08
5.14,-5.5085e-08
5.15,-8.2975e-08
5.16,-1.48667e-07
5.17,-2.30389e-07
5.18,-3.00589e-07
5.19,-3.78373e-07
5.2,-4.62173e-07
5.21,-1.95798e-07
5.22,1.1279e-08
5.23,1.37889e-07
5.24,9.0596e-08
5.25,5.021e-09
5.26,-1.08369e-07
5.27,2.60863e-07
5.28,6.64287e-07
5.29,4.77307e-07
5.3,1.84482e-07
5.31,-1.56016e-07
5.32,-2.17016e-07
5.33,-2.47323e-07
5.34,-2.46333e-07
5.35,-2.06553e-07
5.36,-1.78903e-07
5.37,-1.76703e-07
5.38,-1.22908e-07
5.39,-6.8351e-08
5.4,-4.9451e-08
5.41,-6.492e-08
5.42,-1.09154e-07
5.43,-2.46654e-07
5.44,-8.1587e-08
5.45,3.23123e-07
5.46,-6.21938e-07
5.47,-1.26988e-06
5.48,-1.52112e-06
5.49,-1.43997e-06
5.5,-1.26665e-06
5.51,-9.97682e-07
5.52,-7.59913e-07
5.53,-5.29483e-07
5.54,-2.84083e-07
5.55,2.07853e-07
5.56,8.10326e-07
5.57,7.43456e-07
5.58,6.40762e-07
5.59,5.01492e-07
5.6,2.93216e-07
5.61,1.23687e-07
5.62,2.8697e-08
5.63,1.87882e-07
5.64,2.66654e-07
5.65,-9.0246e-08
5.66,-1.9244e-07
5.67,-1.7285e-07
5.68,-1.2895e-07
5.69,-8.9235e-08
5.7,-5.2835e-08
5.71,-5.6829e-08
5.72,-5.1088e-08
5.73,-3.2288e-08
5.74,1.27651e-07
5.75,2.60707e-07
5.76,2.85917e-07
5.77,2.64554e-07
5.78,2.27092e-07
5.79,1.88812e-07
5.8,1.46498e-07
5.81,9.8816e-08
5.82,2.726e-09
5.83,-4.5085e-08
5.84,-4.3685e-08
5.85,-3.8554e-08
5.86,-3.4707e-08
5.87,-3.3507e-08
5.88,-2.3175e-08
5.89,-8.2582e-08
5.9,-3.63582e-07
5.91,-4.13379e-07
5.92,-3.5748e-07
5.93,-3.1539e-07
5.94,-3.47645e-07
5.95,-4.38745e-07
5.96,-5.20505e-07
5.97,-6.24215e-07
5.98,-7.56825e-07
5.99,-4.33199e-07
6,-3.87687e-07
6.01,-1.12192e-06
6.02,-1.18063e-06
6.03,-1.01683e-06
6.04,-8.94156e-07
6.05,-9.01067e-07
6.06,-9.90408e-07
6.07,-1.12954e-06
6.08,-8.9055e-07
6.09,-2.6436e-07
6.1,-4.80298e-07
6.11,-5.74224e-07
6.12,-3.56234e-07
6.13,-1.14125e-07
6.14,2.49862e-07
6.15,9.71602e-07
6.16,1.24648e-06
6.17,1.32702e-06
6.18,1.50067e-06
6.19,1.51646e-06
6.2,1.40652e-06
6.21,1.65309e-06
6.22,1.65159e-06
6.23,1.32283e-06
6.24,1.11135e-06
6.25,9.77667e-07
6.26,9.80397e-07
6.27,7.30284e-07
6.28,3.60612e-07
6.29,-1.57388e-07
6.3,-2.9293e-07
6.31,-1.93482e-07
6.32,-8.8082e-08
6.33,-2.43231e-07
6.34,-6.65041e-07
6.35,-8.0671e-07
6.36,-8.00255e-07
6.37,-5.75675e-07
6.38,-3.97353e-07
6.39,-2.8859e-07
6.4,-3.6009e-07
6.41,-4.77349e-07
6.42,-6.22907e-07
6.43,-8.19727e-07
6.44,-7.53839e-07
6.45,-4.78949e-07
6.46,-2.19159e-07
6.47,1.02207e-07
6.48,5.04127e-07
6.49,6.06012e-07
6.5,6.59926e-07
6.51,7.07546e-07
6.52,6.87547e-07
6.53,6.40599e-07
6.54,5.76629e-07
6.55,6.51503e-07
6.56,7.77517e-07
6.57,3.47337e-07
6.58,1.31619e-07
6.59,1.33829e-07
6.6,3.21537e-07
6.61,4.4884e-07
6.62,4.5016e-07
6.63,1.75771e-07
6.64,-2.8096e-08
6.65,1.89614e-07
6.66,2.31138e-07
6.67,1.90231e-07
6.68,1.46141e-07
6.69,1.51032e-07
6.7,1.94842e-07
6.71,2.85715e-07
6.72,4.39912e-07
6.73,6.76832e-07
6.74,4.3311e-07
6.75,2.09577e-07
6.76,1.93297e-07
6.77,1.92503e-07
6.78,9.9071e-08
6.79,-4.33839e-07
6.8,-5.69102e-07
6.81,-4.58544e-07
6.82,-3.25754e-07
6.83,-2.46514e-07
6.84,-2.21924e-07
6.85,-4.75647e-07
6.86,-6.90979e-07
6.87,-8.06499e-07
6.88,-1.14332e-06
6.89,-1.41329e-06
6.9,-1.31163e-06
6.91,-1.05332e-06
6.92,-7.41463e-07
6.93,-5.67373e-07
6.94,-2.48997e-07
6.95,1.83913e-07
6.96,1.18758e-07
6.97,5.7653e-08
6.98,5.463e-09
6.99,-3.9595e-08
7,-8.2479e-08
7.01,-1.22869e-07
