time,Nodes1Paths2.VotingSlave_1.PTP_Stack[0].offsetFromMaster:vector
0,0
0,0
0.356303732422,0
0.371922592935,4.1e-06
0.38754051897,-3.456e-06
0.403166194701,8.96e-07
0.418803470662,-5.13e-07
0.434417229218,-1.236e-06
0.450046359889,-3.5e-07
0.465675508601,-2.96e-07
0.481305479434,-1.35e-06
0.496929593028,-5.3e-08
0.51254716081,4.87e-07
0.528175893425,-5.43e-07
0.543800543572,-3.47e-07
0.559431715374,-3.35e-07
0.575051832324,-2.9e-08
0.590685049848,-3.47e-07
0.606304340962,-2.54e-07
0.621932204478,3.926e-06
0.637551241134,-7.08e-07
0.653174445758,1.75e-06
0.668798268573,-6e-08
0.684425396619,-6.09e-07
0.700046556835,-4.233e-06
0.715674364785,-4.058e-06
0.731296380188,-9.612e-06
0.746927725376,6.387e-06
0.762559581443,-4.4e-08
0.778177354011,2.7e-08
0.793805378707,-1.008e-06
0.809427562663,-2.95e-07
0.825051360053,-9.03e-07
0.840675955283,2.548e-06
0.856296302979,-5.447e-06
0.871920727247,-9.3e-08
0.887555351197,4.31e-07
0.903177184317,-1.786e-06
0.918804600371,-1.13e-07
0.934408158038,1.25e-07
0.95005427444,3.99e-07
0.965676428853,-2.173e-06
0.981295082151,1.129e-06
0.996923101463,2.96e-07
1.012543457878,-4.5e-08
1.028180015922,-4.7e-08
1.043790504171,1.385e-06
1.05943011863,-1.46e-07
1.075042338706,-1.99e-07
1.090674613587,1.491e-06
1.106308475887,2.57e-07
1.121933556869,-2.43e-07
1.137548214753,3.697e-06
1.153171554333,1.87e-07
1.168806337454,4.302e-06
1.184422501719,-3.56e-07
1.200050764796,1.8e-08
1.21568095096,2.4e-08
1.231290660227,5.01e-07
1.246922614437,9.7e-08
1.26254141502,-2e-07
1.278171399045,-5.331e-06
1.293801747992,-3.37e-07
1.309420240894,2.971e-06
1.325045864244,6.34e-07
1.340679343961,5.88e-07
1.356300145144,3.15e-06
1.371926789517,1.04e-06
1.387544204562,-3.6e-08
1.403168173214,2.331e-06
1.418804284427,3.5e-08
1.43441779882,-7.68e-07
1.450047579465,-4.1e-07
1.465668481891,-5.77e-07
1.481298779314,5.3e-08
1.49693225456,-4.72e-07
1.512547300153,5.7e-07
1.528168360511,5.3e-08
1.543805759634,-1.55e-07
1.559430809594,-1.61e-07
1.575044475572,7.301e-06
1.590687149751,7.07e-07
1.606299267299,6.5e-08
1.621928911442,7.47e-07
1.637552621586,2.681e-06
1.653166708449,3.608e-06
1.668801722678,-4.99e-07
1.684423090788,-4.43e-07
1.70005886972,-1.473e-06
1.715678666532,-2.434e-06
1.731296369478,-4.228e-06
1.7469294204,-5.24e-07
