time,Nodes1Paths2.StandardSlave_1.ClockServo.OffsetFromMaster:vector
0.356304674732,0.00191788
0.371923408548,0.00191383
0.387546903313,7.501e-06
0.403173435177,2.02882e-06
0.418810789305,2.561e-06
0.434420406198,2.76131e-06
0.450048021577,-1.34238e-06
0.465672446474,-7.8132e-07
0.481305680576,9.13732e-07
0.496930084109,5.06281e-07
0.51254591378,-1.52936e-07
0.528184941162,7.71651e-07
0.543792349241,1.20138e-06
0.559431764714,1.1845e-06
0.575050940971,1.2644e-06
0.59068424993,1.83074e-06
0.606296524843,8.66717e-07
0.621934293578,-3.31274e-06
0.637539600593,1.75447e-06
0.653180198571,-1.23932e-06
0.668803202696,4.6551e-07
0.684428551763,9.2597e-07
0.700042453417,4.62839e-06
0.715677487326,3.35423e-06
0.731292011175,6.93381e-06
0.746929825828,-1.10032e-05
0.762549007529,-3.83051e-06
0.77818576541,-3.98142e-06
0.793801694222,-9.61635e-07
0.809425944707,2.86805e-07
0.825041822757,1.55015e-06
0.840683439909,-2.14109e-06
0.856307916838,6.60559e-06
0.871926227588,5.11996e-07
0.887554977777,9.6252e-08
0.903177348887,2.15004e-06
0.918807599828,-2.46777e-07
0.93441144439,-5.57027e-07
0.950047492631,-4.71139e-07
0.9656754733,2.26525e-06
0.981300865897,-1.72135e-06
0.996929871992,-7.41253e-07
1.012556170974,3.22466e-07
1.02817163074,-2.99798e-07
1.04379387846,-7.57353e-07
1.05942292519,1.64069e-06
1.075042719358,1.60062e-06
1.09067289273,-1.03251e-06
1.106302154892,1.83153e-07
1.121926404109,-1.92434e-07
1.137544765895,-2.46169e-06
1.153165325335,4.044e-08
1.168802362427,-3.79882e-06
1.184420822592,9.9373e-07
1.200054018719,1.401e-06
1.215679409309,3.58947e-07
1.231298753783,-2.28235e-07
1.246929974383,2.6912e-07
1.262539650307,3.19053e-07
1.278170486508,5.13803e-06
1.293798498893,-5.98437e-07
1.309422090683,-4.62901e-06
1.325053029626,-6.63396e-07
1.340667673013,-6.0822e-07
1.356304790677,-2.3644e-06
1.371927842326,-1.29588e-07
1.387553822701,1.41891e-06
1.403170738757,-1.85343e-06
1.418803912463,4.3967e-07
1.434416720355,1.30226e-06
1.450048350296,1.19075e-06
1.465675927563,4.56597e-07
1.481297162952,3.35121e-07
1.496920175819,2.48606e-07
1.512547304666,-4.1285e-08
1.528171208459,-3.5109e-08
1.543808870218,4.7193e-08
1.559426423554,2.82707e-07
1.575047326463,-6.23346e-06
1.590676586819,1.2249e-06
1.606300107298,9.85306e-07
1.621920516128,8.89312e-07
1.637541606828,-2.06671e-06
1.653172597284,-2.29643e-06
1.668792629969,2.32934e-06
1.684423700927,2.01578e-06
1.700055860616,3.00852e-06
1.715674115904,3.55467e-06
1.731298945203,4.47153e-06
1.746928075791,-6.88478e-07
1.762555170272,-4.32999e-06
1.778169858949,-1.43347e-06
1.79380394439,-7.11063e-06
1.809431642273,1.15742e-06
1.825060085062,1.622e-06
1.840674734134,1.66893e-06
1.856308764806,-3.68488e-06
1.871923992498,3.57032e-06
1.887558215094,1.56929e-06
1.903178183312,9.68578e-07
1.918803393111,2.12904e-06
1.934433840858,6.5187e-08
1.9500499151,-5.57429e-07
1.965682552498,-1.2757e-06
1.981302505559,-3.5822e-08
1.996924604648,1.9692e-08
2.012540979158,-1.7144e-07
2.028180453528,6.0087e-08
2.043795397203,1.19058e-06
2.059431251922,-2.37486e-07
2.075060717463,3.90113e-06
2.090676620241,-7.10708e-07
2.106306758449,-1.15057e-06
2.121928508409,5.58855e-07
2.137554270044,1.22071e-06
2.153174003149,-3.3029e-08
2.168809907657,-5.0192e-06
2.184416131724,-2.33626e-07
2.200046291962,-2.77877e-07
2.215672142112,3.35922e-06
2.23130688538,-3.15581e-07
2.246930181502,-5.64014e-06
2.262547340217,9.46832e-07
2.278172306504,7.49718e-07
2.293806702863,-2.73528e-07
2.309419607546,2.45769e-07
2.325053646186,1.0638e-07
2.340681771648,6.59636e-07
2.356293843524,3.76064e-06
2.371930151019,-2.45013e-07
2.387552570866,-9.48851e-06
2.403183825598,5.40882e-07
2.418795043124,3.59173e-07
2.434432472881,2.99874e-07
2.450048388019,6.70304e-06
2.46566992591,7.496e-09
2.481302849245,1.32462e-07
2.496921765232,-2.48316e-07
2.512549378297,-5.1808e-06
2.528167762909,2.35591e-07
2.543792534815,1.99311e-07
2.559426654168,-6.48942e-07
2.575057605876,-6.37953e-07
2.590670663953,5.7944e-06
2.606300725434,3.04096e-06
2.621920321656,2.8241e-06
2.63754290542,-1.67745e-06
2.653175393117,-1.36499e-06
2.668807799136,-1.09204e-06
2.684428000562,-1.35353e-06
2.70004242471,4.26491e-07
2.715676386365,3.09983e-07
2.731298594187,-4.22505e-07
2.746931315797,-1.83847e-07
2.762551432521,-2.38839e-06
2.778172527481,-4.93877e-07
2.793805618703,1.24291e-07
2.809424809459,2.1299e-06
2.825061058545,1.1917e-07
2.840678654933,6.47507e-06
2.856293538377,-1.18445e-06
2.871924319738,2.64346e-06
2.887562370374,-1.66829e-06
2.903180569067,-1.74295e-06
2.918799282482,-7.76817e-06
2.934419130976,2.42373e-07
2.950045592621,-1.95537e-07
2.965675892728,1.59573e-06
2.981297101696,1.1466e-07
2.99692553343,-1.16951e-06
