time,Nodes1Paths2.VotingSlave_1.PTP_Stack[1].offsetFromMaster:vector
0,0
0,0
0.344634571721,0.00500067
0.360268056821,-5e-08
0.37590908916,4.8e-08
0.391509388564,4.2e-08
0.407145385191,-5.5e-08
0.422764059737,2.1e-08
0.438389500623,-3.8e-07
0.454018432368,-3.02e-07
0.469629171459,-2.56e-07
0.485262681665,-2.56e-07
0.500887032218,-1.66e-07
0.516514476034,-1.96e-07
0.532133135252,-1.72e-07
0.547768504375,-9.3e-08
0.563390654474,-6.6e-08
0.579014378929,-9.5e-08
0.594636435168,-8.7e-08
0.610269786132,-1.7e-08
0.625892189135,-6.6e-08
0.641510227137,-1.3e-08
0.657138554102,-5.7e-08
0.672769988576,-5.6e-08
0.688390800087,-4.9e-08
0.704016216565,0
0.719630416531,2e-09
0.735265267865,4e-09
0.750884238273,4e-09
0.766518904396,-2e-09
0.782138375765,-8.9e-08
0.797767623809,-3.9e-08
0.813388823504,2.1e-08
0.829009319769,2e-08
0.844634776036,2e-08
0.860267191817,-3.9e-08
0.875884275865,2.3e-08
0.891514988186,-3.1e-08
0.90713528687,-4.3e-08
0.922762275888,2.2e-08
0.9383862951,-9e-09
0.954012499746,4.1e-08
0.969646815215,-5e-09
0.985265224783,-3e-09
1.00088343698,-2.1e-08
1.016517528729,-3.2e-08
1.032133653982,-1.8e-08
1.047766028862,-2.8e-08
1.063385298082,3.8e-08
1.079006403662,-1e-09
1.094636540914,6e-09
1.110258977953,4.4e-08
1.125887708783,3.7e-08
1.141516319498,2.4e-08
1.157143962823,-3.9e-08
1.172766337498,-5.6e-08
1.18838124242,2e-09
1.204005678507,-4.2e-08
1.219631322115,8e-09
1.235259168645,1.6e-08
1.250886262422,-3.6e-08
1.266513861342,-4.2e-08
1.282136715352,1.4e-08
1.297770351839,-2.2e-08
1.313384024666,-2.7e-08
1.329017852616,-1.4e-08
1.344643350762,4.7e-08
1.360266017962,-1.6e-08
1.375879672246,-2.6e-08
1.391511141824,-1.7e-08
1.407128965887,-6e-09
1.42276036674,-7e-09
1.438400098983,-5.9e-08
1.454019188529,0
1.469633895665,5e-09
1.485262202329,-4.8e-08
1.500886015572,-4e-09
1.516513884257,2e-09
1.532131950294,2e-09
1.547757402219,5e-08
1.563384649582,1e-09
1.579017266409,1.01e-07
1.594638388246,3.6e-08
1.610264882289,-2e-08
1.625885296116,-3.4e-08
1.641506115205,6.5e-08
1.657134597994,-5.2e-08
1.67276557375,-1.4e-08
1.688396722405,0
1.704009837518,-4.7e-08
1.719624156193,-4e-08
1.73526584439,7e-09
1.75089072183,1.7e-08
1.766513798564,-3.9e-08
1.782134087239,-3.2e-08
