time,Nodes1Paths2.timeDiffObserver_Voted.ScaledTimeDiff:vector
2.73,1.63614e-07
2.74,1.64368e-07
2.75,1.64221e-07
2.76,1.61022e-07
2.77,1.58279e-07
2.78,1.58169e-07
2.79,1.6061e-07
2.8,1.6068e-07
2.81,1.56548e-07
2.82,1.51417e-07
2.83,1.506e-07
2.84,1.5214e-07
2.85,1.50402e-07
2.86,1.50041e-07
2.87,1.50702e-07
2.88,1.49294e-07
2.89,1.46484e-07
2.9,1.48425e-07
2.91,1.50142e-07
2.92,1.51562e-07
2.93,1.53234e-07
2.94,1.5544e-07
2.95,1.57981e-07
2.96,1.51591e-07
2.97,1.44329e-07
2.98,1.39379e-07
2.99,1.31345e-07
3,1.25819e-07
3.01,1.2487e-07
3.02,1.29411e-07
3.03,1.35252e-07
3.04,1.41093e-07
3.05,1.43812e-07
3.06,1.47852e-07
3.07,1.51562e-07
3.08,1.52136e-07
3.09,1.49286e-07
3.1,1.46598e-07
3.11,1.44048e-07
3.12,1.41694e-07
3.13,1.43963e-07
3.14,1.45091e-07
3.15,1.42142e-07
3.16,1.4001e-07
3.17,1.38461e-07
3.18,1.37129e-07
3.19,1.3698e-07
3.2,1.40597e-07
3.21,1.40972e-07
3.22,1.39201e-07
3.23,1.32751e-07
3.24,1.34817e-07
3.25,1.35989e-07
3.26,1.3314e-07
3.27,1.29886e-07
3.28,1.27229e-07
3.29,1.28717e-07
3.3,1.32015e-07
3.31,1.36256e-07
3.32,1.39702e-07
3.33,1.40138e-07
3.34,1.37588e-07
3.35,1.36159e-07
3.36,1.34548e-07
3.37,1.37457e-07
3.38,1.40175e-07
3.39,1.40942e-07
3.4,1.37493e-07
3.41,1.37446e-07
3.42,1.41986e-07
3.43,1.45513e-07
3.44,1.46539e-07
3.45,1.45735e-07
3.46,1.47151e-07
3.47,1.47976e-07
3.48,1.52316e-07
3.49,1.52369e-07
3.5,1.53234e-07
3.51,1.55975e-07
3.52,1.52711e-07
3.53,1.45709e-07
3.54,1.46034e-07
3.55,1.47416e-07
3.56,1.46476e-07
3.57,1.43561e-07
3.58,1.40442e-07
3.59,1.35392e-07
3.6,1.40455e-07
3.61,1.43725e-07
3.62,1.42788e-07
3.63,1.44176e-07
3.64,1.4697e-07
3.65,1.45421e-07
3.66,1.48273e-07
3.67,1.51573e-07
3.68,1.53356e-07
3.69,1.56233e-07
3.7,1.5853e-07
3.71,1.56802e-07
3.72,1.54613e-07
3.73,1.52263e-07
3.74,1.50105e-07
3.75,1.485e-07
3.76,1.47644e-07
3.77,1.48991e-07
3.78,1.52246e-07
3.79,1.51096e-07
3.8,1.50085e-07
3.81,1.49136e-07
3.82,1.48186e-07
3.83,1.46903e-07
3.84,1.45353e-07
3.85,1.45892e-07
3.86,1.44542e-07
3.87,1.4183e-07
3.88,1.36378e-07
3.89,1.32352e-07
3.9,1.32392e-07
3.91,1.33862e-07
3.92,1.38262e-07
3.93,1.37913e-07
3.94,1.37903e-07
3.95,1.38244e-07
3.96,1.41574e-07
3.97,1.46882e-07
3.98,1.51322e-07
3.99,1.52649e-07
4,1.50538e-07
4.01,1.52216e-07
4.02,1.52799e-07
4.03,1.5186e-07
4.04,1.54601e-07
4.05,1.56815e-07
4.06,1.58277e-07
4.07,1.56428e-07
4.08,1.54557e-07
4.09,1.50607e-07
4.1,1.48711e-07
4.11,1.49216e-07
4.12,1.52657e-07
4.13,1.50542e-07
4.14,1.47093e-07
4.15,1.48223e-07
4.16,1.46079e-07
4.17,1.3793e-07
4.18,1.34338e-07
4.19,1.34449e-07
4.2,1.38419e-07
4.21,1.41466e-07
4.22,1.46414e-07
4.23,1.54654e-07
4.24,1.57004e-07
4.25,1.54912e-07
4.26,1.50425e-07
4.27,1.43e-07
4.28,1.37268e-07
4.29,1.41009e-07
4.3,1.44339e-07
4.31,1.46765e-07
4.32,1.48175e-07
4.33,1.5161e-07
4.34,1.5405e-07
4.35,1.52849e-07
4.36,1.53628e-07
4.37,1.57168e-07
4.38,1.56449e-07
4.39,1.55334e-07
4.4,1.58296e-07
4.41,1.59901e-07
4.42,1.57153e-07
4.43,1.58231e-07
4.44,1.59602e-07
4.45,1.59959e-07
4.46,1.57119e-07
4.47,1.56823e-07
4.48,1.58363e-07
4.49,1.53647e-07
4.5,1.46446e-07
4.51,1.47914e-07
4.52,1.49546e-07
4.53,1.50797e-07
4.54,1.49568e-07
4.55,1.4887e-07
4.56,1.49613e-07
4.57,1.47244e-07
4.58,1.44532e-07
4.59,1.45872e-07
4.6,1.44914e-07
4.61,1.42669e-07
4.62,1.41619e-07
4.63,1.4077e-07
4.64,1.42244e-07
4.65,1.47284e-07
4.66,1.48068e-07
4.67,1.47311e-07
4.68,1.45906e-07
4.69,1.44607e-07
4.7,1.43557e-07
4.71,1.43048e-07
4.72,1.44669e-07
4.73,1.48609e-07
4.74,1.48429e-07
4.75,1.48968e-07
4.76,1.52409e-07
4.77,1.53125e-07
4.78,1.51164e-07
4.79,1.53054e-07
4.8,1.53918e-07
4.81,1.53834e-07
4.82,1.51851e-07
4.83,1.48627e-07
4.84,1.49167e-07
4.85,1.45829e-07
4.86,1.40566e-07
4.87,1.32817e-07
4.88,1.35478e-07
4.89,1.38029e-07
4.9,1.3668e-07
4.91,1.35407e-07
4.92,1.33273e-07
